# Lat, Lng, Strength(m/s), RadiusU(m), RadiusV(m), Heading(deg), Advects(1/0)
50.93491672,-1.39457702,3.0,21.89,21.89,0.0,0
50.93551171,-1.39766693,3.0,49.78,49.78,0.0,0
